id	ann	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7
C:12	tRNA.bed:chr21.tRNA2-GlyGCC,;rmsk.bed:tRNA,;	43526	29327	57474	48658	35492	101386	72175	200900	44871	53389	47739	70917	171251	107338	23911	26588	43291	34308	24072	85526	73357	75379	26589	29673	75833	58634	28100	128329
C:13	tRNA.bed:chr1.tRNA70-GlyTCC,;rmsk.bed:tRNA,;	412	1948	1540	608	1082	3588	1241	2739	1963	1376	936	2252	2700	1340	592	2722	1342	1028	1613	3629	1995	259	1361	1359	2040	1638	2756	4100
C:14	rmsk.bed:tRNA,;	406	1351	2286	504	1517	3445	1172	4620	2881	2449	2075	1742	4206	2000	192	1612	1415	427	1117	2674	1198	180	1740	1126	1688	1162	1976	4469
C:15	tRNA.bed:chr1.tRNA91-PseudoCCC,;pirna2.bed:1,;rmsk.bed:tRNA,;	129	214	245	68	206	469	169	328	388	137	112	218	385	587	121	221	241	56	128	486	184	780	93	68	170	72	252	476
C:16	tRNA.bed:chr2.tRNA17-PseudoTTC,;rmsk.bed:tRNA,;ensGene.bed:ENST00000422511,;refGene.bed:NM_001282925,;	348	909	836	152	632	1237	666	2813	1441	573	480	749	2064	1050	3226	1277	741	194	808	1210	1478	2109	739	1561	1712	1718	1020	3326
C:17	rmsk.bed:tRNA,;	237	477	706	863	416	1875	775	1794	807	473	464	1082	2142	876	131	345	465	187	278	966	484	1975	510	973	972	965	652	1195
C:18	tRNA.bed:chr1.tRNA4-GlyCCC,;pirna2.bed:1,;rmsk.bed:tRNA,;ensGene.bed:ENST00000466256,;	10	24	11	0	38	27	0	58	24	12	0	0	25	21	1196	273	242	165	146	260	578	588	767	5319	412	1573	417	409
C:19	rmsk.bed:LINE,;ensGene.bed:ENST00000284384,;refGene.bed:NM_002737,;	73	605	34	0	26	108	24	65	61	19	32	32	55	10	0	68	102	24	45	200	1074	126	39	15	50	15	60	2372
C:20	tRNA.bed:chr17.tRNA13-GlyCCC,;rmsk.bed:tRNA,;ensGene.bed:ENST00000580118,;refGene.bed:NM_014683,;	38	155	148	31	77	285	111	235	178	89	54	151	260	186	0	73	71	13	60	172	3707	211	57	60	78	66	80	7794
C:21	rmsk.bed:LTR,;ensGene.bed:ENST00000447585,;	126	82	178	236	136	116	129	17	262	101	38	50	182	91	184	105	90	303	227	134	174	93	97	75	94	84	260	167
C:22	tRNA.bed:chr17.tRNA10-GlyTCC,;rmsk.bed:tRNA,;ensGene.bed:ENST00000315707,;refGene.bed:NR_026951,;	51	309	41	172	104	467	145	93	146	60	65	490	271	46	35	334	76	147	105	454	221	14	90	123	235	124	365	266
C:23	rmsk.bed:tRNA,;	0	90	147	39	91	341	103	253	171	110	49	175	329	173	10	111	132	23	56	229	121	360	44	69	94	55	127	311
C:24	rmsk.bed:snRNA,;ensGene.bed:ENST00000466256,;	8761	4987	7813	5731	5930	3896	5295	9744	4052	6054	5838	2149	4616	7029	10304	6455	6594	9941	9853	5478	11195	4542	14409	29405	12252	13970	8090	6429
C:25	tRNA.bed:chr1.tRNA74-GluCTC,;rmsk.bed:tRNA,;	83643	375632	330562	359303	266101	750528	622166	402750	392010	191665	208466	611246	599036	318814	70311	326742	310371	343583	238324	796005	684474	346013	185699	284155	488260	382255	505167	513149
C:26	tRNA.bed:chr1.tRNA5-GluTTC,;rmsk.bed:tRNA,;ensGene.bed:ENST00000466256,;	1629	1860	2188	1905	1610	4457	7215	2840	1500	1241	938	5872	8207	3120	664	889	437	283	194	765	1250	349	164	514	849	759	1408	1023
C:27	rmsk.bed:tRNA,;	1851	1594	2507	1803	1442	1139	2034	2522	1334	1712	1337	1448	1982	1644	30243	146154	167386	164681	115294	428301	342006	159117	96009	137253	249630	180950	284989	274499
C:28	tRNA.bed:chr2.tRNA1-PseudoCCC,;rmsk.bed:tRNA,;ensGene.bed:ENST00000381483,;refGene.bed:NM_014668,;	4217	2019	4995	5578	2202	4005	5092	594	1012	1699	1810	2227	2055	2650	2835	589	2880	5640	2068	2814	6008	43	734	894	2262	1611	2765	1230
C:29	rmsk.bed:LTR,;	269	375	185	249	226	294	341	179	319	197	192	202	358	93	176	139	124	265	204	244	437	33	395	360	347	559	800	286
C:30	rmsk.bed:tRNA,;	332	2336	3169	900	1927	2719	1575	4609	3820	2119	1930	1778	4363	3691	834	4316	3985	4318	2961	10651	9536	3787	2119	3312	6623	4757	7143	7653
C:31	rmsk.bed:tRNA,;	133	750	67	95	51	252	210	77	122	21	48	232	190	89	18	93	86	83	71	223	1764	95	45	82	127	102	172	1282
C:32	tRNA.bed:chr1.tRNA9-ArgTCT,;pirna2.bed:1,;rmsk.bed:tRNA,;ensGene.bed:ENST00000565336,;	1466	2494	2840	5088	2467	2450	3510	930	1700	848	730	1853	2461	1366	5838	4537	10756	15578	3323	6367	11366	3989	1324	1322	2311	5497	9655	6692
C:33	tRNA.bed:chr1.tRNA86-ArgTCT,;rmsk.bed:tRNA,;ensGene.bed:ENST00000411768,;	173	251	2133	300	195	1252	1049	2196	1217	999	897	1426	4105	838	1169	678	3400	6498	555	6512	5559	4371	3645	1767	3228	7281	3889	3780
C:34	tRNA.bed:chr11.tRNA3-ArgTCT,;rmsk.bed:tRNA,;	259	158	463	1378	200	1020	1176	123	85	17	28	398	566	108	1758	397	2463	6349	471	2840	4395	570	137	210	654	951	1487	1190
C:35	tRNA.bed:chr1.tRNA26-AsnGTT,;pirna2.bed:1,;rmsk.bed:tRNA,;refGene.bed:NR_102405,;	288	193	64	380	127	735	336	100	155	52	21	465	273	90	798	452	454	851	332	1152	922	2089	290	319	405	380	639	714
C:36	tRNA.bed:chr17.tRNA4-ArgTCT,;rmsk.bed:tRNA,;ensGene.bed:ENST00000541682,;refGene.bed:NM_032580,;	12	55	59	113	76	182	205	56	28	0	0	81	138	0	794	195	1442	3036	246	1330	2377	241	50	38	382	248	788	633
C:37	ensGene.bed:ENST00000602813,;refGene.bed:NR_004407,;	343	74	792	345	541	289	560	50	157	176	389	43	417	175	442	170	673	325	624	257	734	247	305	395	603	238	358	209
C:38	miRNA.bed:Name=hsa-miR-30a-3p,;ensGene.bed:ENST00000436803,;refGene.bed:NR_029504,;	252066	81847	222696	170653	146781	102053	156605	75653	151053	190624	199579	99376	126608	204906	189172	75757	134642	123653	94712	85853	157451	46554	104903	79795	89259	88720	96365	115839
C:39	miRNA.bed:Name=hsa-miR-30e-3p,;ensGene.bed:ENST00000414185,;refGene.bed:NM_001142590,;	132250	50839	96085	101568	81084	49867	82705	35588	59190	94027	100479	39286	58862	103871	98828	44601	59704	62437	45306	37744	54995	15132	49670	37931	44671	42573	42543	43478
C:40	miRNA.bed:Name=hsa-miR-30d-3p,;ensGene.bed:ENST00000362283,;refGene.bed:NR_029599,;	122931	29992	89245	98595	59232	39309	64169	35252	43668	77593	97636	31547	65660	95917	94253	21929	54815	57838	29542	27289	47062	18619	53146	38035	37830	40737	36154	32758
C:41	miRNA.bed:Name=hsa-miR-30c-1-3p,;ensGene.bed:ENST00000414185,;refGene.bed:NM_001142590,;	68476	18135	46606	46203	34642	20173	35044	13254	22631	36446	44675	15642	27382	44847	38971	14246	25842	28036	18493	13639	22249	7385	23515	17706	21267	20680	20910	19429
C:42	miRNA.bed:Name=hsa-miR-30b-3p,;ensGene.bed:ENST00000384850,;refGene.bed:NR_029666,;	33704	7340	21760	27039	16338	11968	20642	9289	8865	16649	22039	9482	18623	25533	20083	5427	12089	17461	8839	8258	15290	2294	11287	9738	12880	11833	9176	9703
C:43	ensGene.bed:ENST00000364043,;refGene.bed:NR_000024,;wgRNA.bed:CDBox,;	3497	1710	1777	1456	1533	974	1410	1027	1100	2299	2230	664	1443	2156	2288	971	994	1073	1168	584	948	102	1426	1976	657	1164	832	736
C:44	ensGene.bed:ENST00000365161,;refGene.bed:NR_001456,;wgRNA.bed:CDBox,;	384	368	182	759	416	521	498	227	362	458	195	352	342	328	626	580	480	569	291	372	477	271	259	342	273	273	415	360
C:45	pirna2.bed:1,;ensGene.bed:ENST00000384690,;refGene.bed:NR_001457,;wgRNA.bed:CDBox,;	517	307	220	592	341	457	419	385	287	377	217	335	416	339	438	409	272	554	300	334	413	124	368	736	370	351	343	304
C:46	rmsk.bed:scRNA,;ensGene.bed:ENST00000365484,;	7244	18007	5688	11302	10283	10015	9766	7481	12008	10197	5567	8992	9236	4098	5200	15192	4497	8124	6901	6361	7877	2233	5443	6711	5666	6575	10656	5763
C:47	rmsk.bed:scRNA,;ensGene.bed:ENST00000363624,;	443	1225	403	647	957	239	504	277	841	1262	356	265	431	387	355	1100	275	413	575	137	410	161	280	405	261	464	533	343
C:48	rmsk.bed:scRNA,;ensGene.bed:ENST00000411366,;	512	1454	619	781	1029	343	740	495	1111	795	325	522	555	320	321	1202	326	579	858	235	574	157	344	420	403	633	958	407
C:49	rmsk.bed:scRNA,;ensGene.bed:ENST00000365625,;	694	712	467	600	487	218	296	126	425	554	277	258	223	173	621	1613	417	1167	946	492	812	64	313	242	486	412	959	400
C:50	miRNA.bed:Name=hsa-miR-3117-3p,;ensGene.bed:ENST00000483060,;refGene.bed:NM_032291,;	472	317	215	172	248	134	258	45	148	233	48	114	146	319	347	335	156	115	178	127	246	0	146	120	184	57	238	121
C:51	ensGene.bed:ENST00000384512,;refGene.bed:NR_073562,;wgRNA.bed:CDBox,;	1341	855	835	2131	1231	993	1521	1067	797	1008	892	944	1562	1020	950	604	656	1303	682	606	1156	276	496	985	807	845	780	647
C:52	ensGene.bed:ENST00000528016,;refGene.bed:NR_073562,;wgRNA.bed:CDBox,;	141	44	51	645	163	235	253	371	165	85	88	149	224	68	168	160	101	356	88	144	160	63	43	84	97	67	100	191
C:53	ensGene.bed:ENST00000364617,;refGene.bed:NR_073562,;wgRNA.bed:CDBox,;	858	492	1003	1059	588	383	1298	610	462	1859	425	744	556	1186	857	510	1243	607	287	257	928	168	242	272	179	159	885	611
C:54	ensGene.bed:ENST00000497519,;refGene.bed:NM_001252273,;wgRNA.bed:CDBox,;	421	256	186	465	184	383	256	318	219	216	196	296	265	279	33	157	41	260	83	214	128	44	123	262	118	133	93	99
C:55	ensGene.bed:ENST00000602755,;refGene.bed:NR_003023,;wgRNA.bed:scaRna,;	536	263	185	1303	490	685	654	1088	128	313	141	228	503	240	437	319	220	876	284	398	600	764	514	1717	272	553	406	383
C:56	miRNA.bed:Name=hsa-miR-197-3p,;ensGene.bed:ENST00000384976,;refGene.bed:NR_029583,;	7408	4194	5043	6787	5452	2872	4262	3327	2871	4572	4050	2039	3999	4675	5277	3071	3190	5748	4737	2695	5402	1494	5176	2584	5300	4664	5923	3799
C:57	miRNA.bed:Name=hsa-miR-101-3p,;ensGene.bed:ENST00000362265,;refGene.bed:NR_029516,;	155626	118286	145371	150062	179340	92162	133707	71323	118672	179786	126946	74868	87808	149661	119902	111207	88544	114334	126200	83869	135043	28568	97704	66232	99277	102041	88907	98573
C:58	miRNA.bed:Name=hsa-miR-101-3p,;ensGene.bed:ENST00000448872,;refGene.bed:NM_001286701,;	1667	911	1429	1744	1422	882	1241	619	901	1517	1317	702	1023	1427	1120	627	833	1180	856	668	1015	305	780	667	782	803	788	796
C:59	miRNA.bed:Name=hsa-miR-27b-3p,;ensGene.bed:ENST00000297979,;refGene.bed:NM_032823,;	321979	617379	268819	438144	583997	195237	365944	165065	352714	612756	271739	146488	210109	309625	242075	648514	166597	363276	493326	200094	414473	99492	276190	152631	252821	325830	385915	246344
C:60	miRNA.bed:Name=hsa-miR-27a-3p,;ensGene.bed:ENST00000385073,;refGene.bed:NR_029501,;	6355	3290	5247	3987	3819	2562	4127	2094	4475	4074	4688	2790	1799	3840	4814	6366	3419	5005	5468	3264	5302	1536	6010	2739	4514	4971	4984	4933
C:61	miRNA.bed:Name=hsa-miR-320a,;ensGene.bed:ENST00000385302,;refGene.bed:NR_029714,;	7078	4572	7158	9165	7968	3242	4177	2105	5103	7291	5789	2451	3847	6198	5664	5305	4509	8354	6737	3043	4853	7128	4678	2038	3955	3813	7188	4496
C:62	tRNA.bed:chr15.tRNA7-GlnCTG,;rmsk.bed:tRNA,;ensGene.bed:ENST00000569304,;	7660	15664	22932	14547	14760	20032	13752	20818	17961	13843	12537	12692	26610	10169	7366	13363	16528	9755	8507	13103	14930	7538	15894	13995	13557	16023	14702	30371
C:63	tRNA.bed:chr1.tRNA15-GlnCTG,;pirna2.bed:1,;rmsk.bed:tRNA,;refGene.bed:NM_001039703,;	251	190	466	1276	210	2288	1565	728	319	243	314	1308	1472	256	323	197	375	992	123	1451	1721	664	489	471	541	1414	680	1089
C:64	tRNA.bed:chr17.tRNA16-GlnTTG,;rmsk.bed:tRNA,;	330	372	590	632	340	810	551	298	432	261	337	385	820	293	330	406	449	396	182	572	746	621	525	946	576	923	843	1011
C:65	tRNA.bed:chr6.tRNA33-HisGTG,;rmsk.bed:tRNA,;	61994	270951	26989	50178	116472	138505	180058	81440	139357	62941	91237	139646	174591	45104	36858	236555	16959	42965	89854	127388	209970	32778	43728	90555	126518	157905	197190	139196
C:66	pirna2.bed:1,;rmsk.bed:tRNA,;	6971	22221	6625	16024	12958	41777	33616	14071	16703	10401	29835	25067	57742	5038	3860	18773	4687	12973	9547	38558	36087	23111	8024	19630	24559	21558	21615	33356
C:67	tRNA.bed:chr1.tRNA106-HisGTG,;rmsk.bed:tRNA,;	67	123	0	0	20	34	56	12	36	12	19	28	31	0	0	197	0	69	116	546	390	11	132	40	171	157	528	208
C:68	rmsk.bed:LTR,;	728	286	435	593	457	335	401	400	239	413	390	218	365	467	414	336	223	668	471	283	505	572	292	184	474	459	441	414
C:69	rmsk.bed:tRNA,;ensGene.bed:ENST00000437504,;	20	305	10	0	23	35	59	0	10	0	17	14	13	0	23	169	0	108	116	306	533	10	0	12	154	123	293	141
C:70	rmsk.bed:snRNA,;ensGene.bed:ENST00000525239,;	5351	4852	4393	4500	5275	3187	5021	4368	3019	3555	4246	2250	5301	4594	3830	4410	3606	4428	4178	3014	5935	4551	2901	7834	5923	5551	3790	4916
C:71	rmsk.bed:snRNA,;ensGene.bed:ENST00000370183,;refGene.bed:NM_033637,;	2095	3158	1221	1494	2428	1433	1507	1346	1601	1428	1048	548	1185	1362	1260	3493	968	1883	3053	1614	2051	387	1630	1771	1592	2810	2260	935
C:72	rmsk.bed:snRNA,;ensGene.bed:ENST00000411069,;	83	1048	99	196	1418	123	600	439	309	62	37	98	185	142	86	807	41	146	908	71	458	1587	101	733	172	727	474	63
C:73	rmsk.bed:snRNA,;ensGene.bed:ENST00000410361,;	221	61	162	316	86	136	145	80	69	98	113	101	249	70	98	44	97	372	112	99	130	17	50	83	232	150	69	180
C:74	rmsk.bed:scRNA,;ensGene.bed:ENST00000516507,;	202491	654556	546502	854107	514358	1836647	924473	232815	386337	356087	165382	1037856	622021	167160	125260	401990	370352	432779	226941	943881	618099	140517	98164	98020	169058	127527	722172	368731
C:75	rmsk.bed:scRNA,;ensGene.bed:ENST00000364228,;	66478	91369	50717	53373	60669	51685	89028	45675	92842	90348	56879	33216	47704	42652	38161	59981	35510	29941	29805	30990	50340	16222	44150	35166	24992	36956	39770	29180
C:76	rmsk.bed:scRNA,;ensGene.bed:ENST00000362433,;	204	169	206	227	204	87	186	106	287	191	157	128	4602	202	122	136	109	127	93	64	132	16	76	75	93	131	114	76
C:77	pirna2.bed:1,;refGene.bed:NR_004393,;	5106	5307	6009	4113	4570	1884	4111	1595	4706	5691	2899	2515	4101	2678	2942	3885	3327	2843	2730	1179	2655	859	1395	1275	1333	1726	3829	1641
C:78	pirna2.bed:1,;rmsk.bed:DNA,;ensGene.bed:ENST00000361138,;refGene.bed:NM_015110,;	528	844	510	422	652	153	490	244	496	715	261	235	495	303	340	622	271	173	339	88	265	82	149	137	128	149	337	160
C:79	rmsk.bed:scRNA,;ensGene.bed:ENST00000360270,;refGene.bed:NM_002444,;	626	625	737	646	581	290	560	122	404	404	314	369	442	397	187	139	281	418	204	144	228	59	46	207	185	109	300	154
C:80	rmsk.bed:scRNA,;ensGene.bed:ENST00000485363,;refGene.bed:NM_001281749,;	554	2122	0	31	12	53	66	0	0	0	0	31	0	0	0	31	52	78	492	2315	107	19	14	0	21	17	95	55
C:81	rmsk.bed:scRNA,;ensGene.bed:ENST00000596225,;refGene.bed:NM_014601,;	1089	4522	50	78	44	199	116	21	20	21	0	109	62	0	0	44	45	31	644	3113	55	11	13	0	13	12	64	39
C:82	rmsk.bed:scRNA,;ensGene.bed:ENST00000509108,;refGene.bed:NM_032783,;	63	218	204	282	153	654	357	62	121	119	76	273	181	34	163	583	567	645	253	1301	580	104	79	100	159	106	861	359
C:83	tRNA.bed:chr1.tRNA32-MetCAT,;pirna2.bed:1,;rmsk.bed:tRNA,;	2931	6909	10161	5950	4236	9149	8466	18017	10426	7956	7015	8421	12633	4522	2102	7273	8030	5154	3460	8599	11367	6983	23106	11758	6289	15242	7834	14548
C:84	miRNA.bed:Name=hsa-miR-92b-3p,;rmsk.bed:Low_complexity,;ensGene.bed:ENST00000607575,;refGene.bed:NR_030281,;	160180	46376	158185	100955	76636	59007	56151	26597	133126	121849	130134	28240	58546	111365	136679	48678	118637	101426	76796	68745	71967	68729	112908	45850	42971	59955	97240	85815
C:85	miRNA.bed:Name=hsa-miR-92a-3p,;ensGene.bed:ENST00000385233,;refGene.bed:NR_029508,;	110296	134896	82371	129864	165020	42197	69877	30134	94396	164458	67552	28923	34874	64393	76857	100006	48581	110359	128421	39634	77226	44149	76404	37245	52211	84384	110310	69284
C:86	pirna2.bed:1,;rmsk.bed:srpRNA,;ensGene.bed:ENST00000490232,;	2944	8775	2292	5063	1844	3822	6194	5815	2488	1629	2549	2430	4343	1066	4119	13668	4960	6438	3077	4159	9443	3880	3066	15565	4843	6882	7876	4963
C:87	pirna2.bed:1,;rmsk.bed:srpRNA,;ensGene.bed:ENST00000557111,;	1675	2507	1148	1933	1061	1530	3062	2577	999	1434	2008	1338	2397	937	829	1991	788	1600	1089	1132	3160	819	1248	3332	1642	4489	1688	1249
C:88	rmsk.bed:SINE,;ensGene.bed:ENST00000525166,;refGene.bed:NM_001008781,;	68	10	60	64	0	41	22	12	0	14	10	17	11	0	63	129	82	846	141	255	590	0	21	86	195	155	209	128
C:89	tRNA.bed:chr16.tRNA26-LeuCAG,;rmsk.bed:tRNA,;	5246	5476	8904	8780	4996	9445	10602	7037	5183	5699	5443	7169	10252	5842	3994	5682	8931	10930	7504	11871	17642	1737	14946	7446	11523	13367	15659	15075
C:90	tRNA.bed:chr1.tRNA58-LeuCAA,;rmsk.bed:tRNA,;	158	25	141	101	55	65	89	39	41	35	67	35	105	46	135	53	91	110	51	44	98	108	97	154	110	144	151	63
C:91	tRNA.bed:chr6.tRNA74-LeuCAA,;rmsk.bed:tRNA,;	53	11	44	33	14	16	30	10	28	20	18	0	0	22	28	44	0	63	19	27	31	26	48	84	14	34	27	10
C:92	tRNA.bed:chr16.tRNA8-ProTGG,;rmsk.bed:tRNA,;	556	1148	1233	928	1019	1334	1739	1040	804	636	526	792	2140	546	748	1133	862	855	744	1035	2302	1982	1523	1013	1203	1835	2857	1772
C:93	tRNA.bed:chr11.tRNA12-ProTGG,;pirna2.bed:1,;rmsk.bed:tRNA,;	71	0	98	546	39	50	44	32	58	0	26	0	54	37	82	0	100	380	0	104	59	295	0	10	0	49	45	32
C:94	rmsk.bed:LTR,;ensGene.bed:ENST00000393297,;refGene.bed:NM_000842,;	187	111	134	185	139	68	122	49	75	115	75	50	89	105	280	91	193	227	122	99	325	65	256	116	124	228	323	120
C:95	tRNA.bed:chr1.tRNA56-ThrTGT,;pirna2.bed:1,;rmsk.bed:tRNA,;	0	0	0	0	0	29	50	0	0	0	0	0	45	0	22	0	11	27	0	53	136	0	0	0	56	62	133	38
C:96	rmsk.bed:rRNA,;ensGene.bed:ENST00000327449,;	21164	14769	19856	16423	15012	12750	16604	12905	69840	68396	17809	10223	88292	16396	20231	15202	15653	11464	9695	10118	18489	10775	13215	24079	21261	18908	15134	17688
C:97	pirna2.bed:1,;rmsk.bed:LTR,;ensGene.bed:ENST00000364315,;	363	559	597	362	506	226	295	446	4970	4099	357	277	3779	459	263	389	239	292	437	185	290	492	579	1352	186	553	362	500
C:98	rmsk.bed:rRNA,;ensGene.bed:ENST00000461976,;refGene.bed:NM_001143676,;	0	0	0	0	0	0	0	0	19	12	0	0	1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
C:99	tRNA.bed:chr6.tRNA100-LeuCAA,;rmsk.bed:tRNA,;	206	271	403	325	193	457	419	289	119	230	286	335	406	199	124	427	466	416	225	545	648	167	804	728	540	824	576	442
C:100	rmsk.bed:tRNA,;ensGene.bed:ENST00000387377,;	12002	4257	6831	9166	7597	3618	6829	6132	4299	4660	5508	2664	7461	9837	11306	3277	7518	9310	4488	3155	7968	6227	7345	6171	4739	4968	6638	5360
C:101	ensGene.bed:ENST00000387409,;	89443	25293	37612	36053	40057	26786	49456	56425	32075	60236	52926	14736	60027	58737	61330	19173	34484	41089	27209	19619	53182	17744	87932	68363	31936	57265	38705	27564
C:102	ensGene.bed:ENST00000440200,;	152	10	75	137	52	25	47	0	29	52	56	12	41	93	152	17	97	94	29	24	78	0	62	26	54	47	57	33
C:103	rmsk.bed:tRNA,;ensGene.bed:ENST00000440200,;	6822	710	2204	4009	1513	1104	1878	1803	521	1765	2469	1437	4922	2574	3910	416	1429	3014	1105	770	1657	266	2542	1947	2014	2151	2320	1246
C:104	pirna2.bed:1,;ensGene.bed:ENST00000361739,;	586	41	215	92	144	21	142	220	137	296	149	11	288	340	1229	240	574	591	418	231	457	234	835	723	552	719	558	333
C:105	ensGene.bed:ENST00000440200,;	6394	878	4423	6817	2450	1373	3900	849	1315	4541	4471	2119	2681	5366	3926	884	2465	3754	868	755	2936	554	809	486	1403	713	1943	858
C:106	miRNA.bed:Name=hsa-miR-34a-3p,;ensGene.bed:ENST00000385130,;refGene.bed:NR_029610,;	2092	505	1546	1086	1311	713	921	519	1088	1206	1849	472	812	1512	1522	552	916	831	823	683	805	320	960	752	544	666	796	1177
C:107	ensGene.bed:ENST00000408612,;refGene.bed:NR_024127,;wgRNA.bed:CDBox,;	6216	2253	3181	3528	2388	1668	2546	1278	1577	4874	4333	1192	2801	3925	6975	1776	4092	3656	2271	1904	3562	563	3571	3110	1800	1862	2417	2123
C:108	pirna2.bed:1,;ensGene.bed:ENST00000373742,;refGene.bed:NM_001020658,;wgRNA.bed:CDBox,;	1703	666	957	957	784	326	650	204	377	1241	1087	270	674	1025	2825	1112	2063	1821	1316	787	1665	35	1628	1874	1578	1220	1718	1142
C:109	pirna2.bed:1,;ensGene.bed:ENST00000532678,;refGene.bed:NM_001020658,;wgRNA.bed:CDBox,;	5932	2897	3100	4016	3266	1656	2531	1345	2122	4487	3655	1442	2861	3610	2977	1788	1857	2985	2277	1387	2142	925	2177	2234	1546	2023	2402	1692
C:110	miRNA.bed:Name=hsa-miR-9-3p,;ensGene.bed:ENST00000561327,;refGene.bed:NR_029692,;	466424	125243	374202	339663	244925	195852	315451	176259	141385	285057	344243	168599	320562	385915	321635	104047	215753	239035	147019	156667	258864	100966	164276	130225	238829	200017	152517	173776
C:111	miRNA.bed:Name=hsa-miR-9-3p,;ensGene.bed:ENST00000513805,;refGene.bed:NR_015436,;	331	83	205	230	161	105	191	52	68	130	240	82	197	205	219	51	167	197	115	129	154	46	100	89	136	118	101	95
C:112	rmsk.bed:scRNA,;ensGene.bed:ENST00000516501,;	25837	31750	39460	27801	38237	50126	54035	11596	24313	15802	14154	23879	42763	16740	15982	18647	23107	15544	18732	26435	30548	19012	4551	7676	12684	12337	30799	16062
C:113	miRNA.bed:Name=hsa-miR-186-5p,;ensGene.bed:ENST00000487510,;refGene.bed:NM_005455,;	29673	18976	23871	33848	28678	11926	25894	8981	14811	29283	22482	11253	18514	25477	18007	10982	12337	11883	8085	4696	10031	8012	7280	7483	6825	8654	10102	5644
C:114	tRNA.bed:chr5.tRNA6-ValCAC,;pirna2.bed:1,;rmsk.bed:tRNA,;	263034	1151597	1213065	321104	649422	889145	455782	1184103	1524627	1353623	1092075	487057	1725094	898707	177585	1073230	852871	262938	515344	847414	508651	2661272	1442191	477994	710104	551204	1155767	1608413
C:115	tRNA.bed:chr5.tRNA15-ValAAC,;pirna2.bed:1,;rmsk.bed:tRNA,;	37849	95525	102453	66950	52142	191230	78471	157258	182826	93233	78564	143113	183244	84448	26234	116100	76750	68319	55027	214938	101730	72516	64825	28234	107590	59457	52810	275564
C:116	tRNA.bed:chr6.tRNA152-ValCAC,;rmsk.bed:tRNA,;	25455	78249	279534	24038	102256	91892	65785	140029	192074	199144	125110	59976	282049	143798	16186	78635	194312	18615	73217	83303	71069	97318	84874	17907	64883	31808	93790	204448
C:117	tRNA.bed:chr11.tRNA17-ValTAC,;rmsk.bed:tRNA,;	5082	4623	8134	4781	4400	12383	7353	6302	6387	5054	4861	7616	13292	6767	2994	3177	4588	3268	2529	7619	6396	1570	3733	3913	4963	3596	6703	8155
