mirna	cc1	cc2	cc3	cc4	cc5	cc6	cc7	ct1	ct2	ct3	ct4	ct5	ct6	ct7	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pt1	pt2	pt3	pt4	pt5	pt6	pt7
hsa-miR-1193	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1197	1064.0	192.0	724.0	741.0	322.0	497.0	922.0	79.0	647.0	417.0	585.0	706.0	314.0	423.0	1446.0	215.0	1166.0	947.0	445.0	550.0	1024.0	488.0	571.0	604.0	987.0	461.0	919.0	964.0
hsa-miR-122-5p	20.0	0.0	8.0	3.0	4.0	5.0	0.0	28.0	16.0	9.0	2.0	7.0	4.0	5.0	17.0	2.0	18.0	6.0	5.0	5.0	6.0	15.0	0.0	17.0	17.0	7.0	5.0	18.0
hsa-miR-1224-3p	234.0	29.0	89.0	116.0	55.0	39.0	106.0	25.0	196.0	90.0	118.0	92.0	79.0	45.0	364.0	62.0	142.0	164.0	88.0	60.0	106.0	94.0	45.0	91.0	203.0	78.0	173.0	134.0
hsa-miR-1224-5p	106.0	30.0	58.0	116.0	71.0	87.0	149.0	29.0	136.0	86.0	184.0	172.0	94.0	78.0	135.0	21.0	97.0	120.0	44.0	61.0	116.0	120.0	26.0	45.0	130.0	61.0	153.0	113.0
hsa-miR-1225-3p	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0
hsa-miR-1225-5p	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1226-3p	41.0	50.0	33.0	95.0	57.0	36.0	58.0	41.0	33.0	21.0	38.0	42.0	55.0	47.0	87.0	82.0	65.0	93.0	73.0	34.0	66.0	31.0	52.0	71.0	45.0	30.0	59.0	35.0
hsa-miR-1226-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
hsa-miR-1227-3p	24.0	2.0	11.0	16.0	15.0	14.0	23.0	4.0	17.0	19.0	21.0	26.0	18.0	11.0	34.0	4.0	20.0	24.0	10.0	9.0	19.0	7.0	9.0	8.0	16.0	6.0	13.0	28.0
hsa-miR-1228-3p	57.0	5.0	33.0	63.0	19.0	17.0	33.0	11.0	33.0	14.0	39.0	17.0	20.0	22.0	81.0	11.0	48.0	19.0	13.0	18.0	21.0	8.0	13.0	18.0	15.0	11.0	18.0	25.0
hsa-miR-1228-5p	15.0	0.0	10.0	6.0	7.0	7.0	5.0	0.0	3.0	0.0	7.0	2.0	4.0	2.0	14.0	0.0	9.0	2.0	2.0	2.0	9.0	0.0	0.0	6.0	5.0	2.0	7.0	7.0
hsa-miR-1229-3p	89.0	14.0	55.0	105.0	35.0	37.0	104.0	6.0	76.0	29.0	69.0	71.0	42.0	40.0	142.0	20.0	92.0	103.0	50.0	38.0	77.0	44.0	20.0	55.0	71.0	29.0	78.0	72.0
hsa-miR-1231	21.0	2.0	9.0	4.0	9.0	10.0	13.0	0.0	0.0	0.0	6.0	2.0	5.0	4.0	11.0	2.0	9.0	3.0	0.0	0.0	5.0	0.0	0.0	2.0	2.0	0.0	0.0	6.0
hsa-miR-1233-3p	2.0	6.0	0.0	5.0	4.0	0.0	4.0	0.0	8.0	2.0	0.0	3.0	3.0	0.0	6.0	2.0	5.0	11.0	2.0	0.0	2.0	0.0	2.0	9.0	6.0	2.0	4.0	13.0
hsa-miR-1234-3p	5.0	0.0	0.0	2.0	3.0	6.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0
hsa-miR-1236-3p	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1237-3p	0.0	0.0	2.0	5.0	5.0	4.0	2.0	0.0	7.0	7.0	12.0	4.0	5.0	0.0	4.0	3.0	6.0	3.0	8.0	5.0	2.0	0.0	0.0	2.0	4.0	2.0	2.0	3.0
hsa-miR-124-3p	35379.0	12366.0	21035.0	28290.0	24329.0	22399.0	28806.0	4413.0	41595.0	31870.0	46869.0	36592.0	21244.0	29692.0	42193.0	7174.0	27635.0	24410.0	18428.0	16247.0	19471.0	25210.0	8141.0	32321.0	39763.0	11950.0	21117.0	34746.0
hsa-miR-124-5p	264.0	48.0	165.0	243.0	132.0	151.0	245.0	69.0	167.0	140.0	371.0	219.0	140.0	198.0	347.0	51.0	278.0	259.0	170.0	182.0	196.0	124.0	46.0	142.0	211.0	112.0	206.0	246.0
hsa-miR-1243	14.0	28.0	15.0	12.0	11.0	14.0	13.0	9.0	2.0	10.0	11.0	19.0	18.0	10.0	35.0	27.0	35.0	33.0	48.0	22.0	29.0	12.0	11.0	31.0	19.0	14.0	23.0	31.0
hsa-miR-1244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1246	47.0	342.0	21.0	64.0	541.0	31.0	182.0	790.0	64.0	148.0	94.0	347.0	240.0	56.0	47.0	415.0	52.0	69.0	845.0	57.0	251.0	172.0	96.0	43.0	20.0	47.0	67.0	57.0
hsa-miR-1247-3p	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
hsa-miR-1247-5p	98.0	29.0	46.0	143.0	51.0	48.0	78.0	26.0	148.0	77.0	120.0	116.0	65.0	38.0	168.0	28.0	75.0	150.0	41.0	58.0	83.0	71.0	61.0	103.0	226.0	68.0	69.0	120.0
hsa-miR-1248	0.0	8.0	0.0	0.0	2.0	5.0	9.0	2.0	0.0	20.0	5.0	7.0	2.0	2.0	4.0	12.0	2.0	2.0	0.0	12.0	15.0	13.0	17.0	0.0	3.0	12.0	8.0	4.0
hsa-miR-1249-3p	2171.0	1002.0	1206.0	2030.0	1802.0	940.0	2193.0	163.0	1142.0	434.0	1444.0	2035.0	1151.0	973.0	3179.0	1298.0	2115.0	2321.0	1940.0	1163.0	1755.0	1015.0	650.0	1297.0	1674.0	833.0	1457.0	1588.0
hsa-miR-1249-5p	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1250-5p	17.0	93.0	13.0	37.0	44.0	27.0	27.0	7.0	5.0	0.0	17.0	24.0	40.0	17.0	20.0	46.0	14.0	19.0	37.0	24.0	19.0	9.0	22.0	52.0	5.0	3.0	4.0	26.0
hsa-miR-1251-3p	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
hsa-miR-1251-5p	135.0	61.0	263.0	238.0	102.0	186.0	250.0	10.0	74.0	139.0	132.0	141.0	78.0	128.0	252.0	92.0	445.0	346.0	135.0	248.0	262.0	59.0	51.0	121.0	194.0	65.0	87.0	248.0
hsa-miR-1252-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0
hsa-miR-1252-5p	60.0	8.0	35.0	29.0	14.0	12.0	34.0	2.0	21.0	23.0	31.0	21.0	19.0	15.0	70.0	25.0	42.0	55.0	38.0	39.0	74.0	26.0	4.0	47.0	61.0	23.0	45.0	58.0
hsa-miR-1254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
hsa-miR-1255a	5.0	2.0	8.0	0.0	0.0	4.0	2.0	3.0	4.0	2.0	6.0	3.0	2.0	0.0	7.0	4.0	7.0	10.0	14.0	4.0	8.0	5.0	0.0	6.0	0.0	0.0	8.0	6.0
hsa-miR-1256	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	5.0	5.0	9.0	0.0	2.0	2.0	0.0	6.0	0.0	5.0	0.0	3.0
hsa-miR-1258	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0
hsa-miR-125a-3p	73.0	35.0	52.0	85.0	54.0	29.0	47.0	25.0	106.0	46.0	57.0	58.0	53.0	55.0	112.0	26.0	96.0	98.0	60.0	41.0	45.0	22.0	34.0	74.0	73.0	18.0	58.0	69.0
hsa-miR-125a-5p	35599.0	23149.0	24240.0	31015.0	21044.0	13757.0	20835.0	15401.0	30585.0	24010.0	24286.0	20679.0	22222.0	15922.0	62408.0	25631.0	37378.0	44025.0	42628.0	17589.0	34669.0	18559.0	25094.0	45258.0	57323.0	18385.0	31322.0	35441.0
hsa-miR-125b-1-3p	2991.0	1592.0	2294.0	2796.0	1882.0	1276.0	2279.0	1129.0	2039.0	1174.0	1464.0	1856.0	2188.0	1585.0	3936.0	1874.0	3624.0	3807.0	2634.0	1567.0	2079.0	971.0	1737.0	2902.0	2614.0	1071.0	1877.0	2925.0
hsa-miR-125b-2-3p	18292.0	7796.0	11859.0	14355.0	8928.0	8459.0	14492.0	6160.0	13306.0	8756.0	9141.0	9091.0	12604.0	9735.0	24757.0	8416.0	19111.0	18918.0	13191.0	9229.0	12312.0	5981.0	8318.0	14036.0	16564.0	6195.0	11181.0	17498.0
hsa-miR-125b-5p	59687.0	43392.0	39356.0	60202.0	40153.0	27649.0	37906.0	29871.0	48524.0	37368.0	43416.0	37857.0	44309.0	31209.0	97343.0	44015.0	60247.0	78453.0	52598.0	28022.0	47687.0	28989.0	39448.0	58165.0	68096.0	25896.0	45914.0	55238.0
hsa-miR-126-3p	14007.0	7077.0	8186.0	14631.0	10010.0	9941.0	15731.0	4111.0	12715.0	7937.0	17199.0	11925.0	11089.0	14756.0	23816.0	7937.0	14100.0	17435.0	13002.0	10943.0	18824.0	12115.0	9456.0	11980.0	13234.0	8886.0	11376.0	12550.0
hsa-miR-126-5p	48473.0	30578.0	27173.0	45490.0	37302.0	35678.0	66409.0	14159.0	45801.0	22311.0	53013.0	41377.0	34970.0	47468.0	77288.0	24132.0	45356.0	49626.0	43475.0	35171.0	62753.0	26324.0	31474.0	36505.0	49124.0	31753.0	38606.0	51276.0
hsa-miR-1260a	578.0	501.0	579.0	344.0	859.0	320.0	385.0	233.0	1432.0	475.0	339.0	460.0	263.0	292.0	421.0	331.0	578.0	280.0	469.0	226.0	281.0	124.0	634.0	559.0	376.0	97.0	161.0	589.0
hsa-miR-1260b	516.0	468.0	549.0	316.0	812.0	307.0	355.0	217.0	1383.0	445.0	311.0	417.0	228.0	271.0	372.0	264.0	516.0	244.0	398.0	204.0	245.0	113.0	571.0	510.0	326.0	75.0	150.0	574.0
hsa-miR-1261	2.0	0.0	2.0	2.0	2.0	0.0	0.0	12.0	8.0	4.0	0.0	2.0	0.0	7.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	3.0	8.0	2.0	0.0	4.0	13.0
hsa-miR-1262	2.0	0.0	0.0	0.0	0.0	2.0	2.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	9.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0
hsa-miR-1263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0
hsa-miR-1264	144.0	19.0	246.0	338.0	73.0	178.0	185.0	22.0	105.0	46.0	84.0	132.0	86.0	70.0	270.0	17.0	419.0	565.0	177.0	258.0	336.0	106.0	129.0	159.0	365.0	137.0	250.0	232.0
hsa-miR-1265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1266-5p	0.0	0.0	6.0	4.0	2.0	2.0	4.0	5.0	0.0	0.0	2.0	3.0	0.0	3.0	3.0	0.0	6.0	6.0	4.0	8.0	0.0	2.0	0.0	7.0	6.0	0.0	0.0	2.0
hsa-miR-1267	7.0	0.0	2.0	5.0	0.0	5.0	2.0	0.0	5.0	0.0	2.0	2.0	4.0	0.0	12.0	0.0	0.0	7.0	0.0	0.0	4.0	5.0	2.0	2.0	9.0	0.0	0.0	8.0
hsa-miR-1268a	14.0	4.0	11.0	12.0	8.0	5.0	3.0	0.0	25.0	2.0	4.0	5.0	8.0	5.0	14.0	0.0	5.0	10.0	0.0	4.0	2.0	0.0	2.0	5.0	8.0	0.0	2.0	12.0
hsa-miR-1268b	12.0	4.0	11.0	12.0	10.0	7.0	3.0	0.0	25.0	2.0	6.0	7.0	8.0	5.0	14.0	0.0	5.0	10.0	0.0	4.0	2.0	0.0	2.0	5.0	8.0	0.0	2.0	12.0
hsa-miR-1269a	2.0	2.0	8.0	0.0	4.0	2.0	5.0	2.0	7.0	0.0	0.0	17.0	2.0	14.0	4.0	5.0	18.0	0.0	3.0	0.0	2.0	3.0	0.0	2.0	11.0	4.0	6.0	3.0
hsa-miR-1269b	4.0	0.0	0.0	3.0	0.0	5.0	2.0	0.0	7.0	0.0	12.0	0.0	0.0	10.0	20.0	0.0	0.0	8.0	0.0	2.0	0.0	3.0	2.0	7.0	0.0	0.0	0.0	0.0
hsa-miR-127-3p	331393.0	65566.0	189217.0	295105.0	107609.0	154892.0	290279.0	136787.0	202597.0	129592.0	186945.0	191283.0	205396.0	190091.0	456402.0	58380.0	272563.0	343576.0	128893.0	152603.0	231585.0	116666.0	76770.0	147222.0	273747.0	108896.0	227065.0	288508.0
hsa-miR-127-5p	2718.0	337.0	1627.0	1613.0	480.0	863.0	2046.0	183.0	1004.0	912.0	1098.0	1247.0	797.0	908.0	3690.0	367.0	2730.0	3062.0	1286.0	1393.0	2340.0	1301.0	530.0	1332.0	2587.0	1043.0	2179.0	3173.0
hsa-miR-1270	15.0	32.0	8.0	13.0	8.0	3.0	9.0	13.0	5.0	23.0	4.0	32.0	8.0	17.0	14.0	52.0	20.0	41.0	27.0	3.0	17.0	2.0	23.0	56.0	20.0	2.0	10.0	13.0
hsa-miR-1271-3p	0.0	7.0	0.0	0.0	9.0	0.0	4.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	3.0
hsa-miR-1271-5p	95.0	192.0	53.0	136.0	56.0	43.0	69.0	38.0	159.0	109.0	48.0	37.0	49.0	27.0	221.0	233.0	107.0	191.0	276.0	62.0	129.0	72.0	132.0	269.0	208.0	23.0	54.0	29.0
