id	nloci	ann	ct4	ct5	ct6	ct7	ct1	ct2	ct3	cc5	cc4	cc7	cc6	cc1	cc3	cc2	pt7	pt6	pt5	pt4	pt3	pt2	pt1	pc2	pc3	pc1	pc6	pc7	pc4	pc5
64	0	gene miRNA|gene::MIR21;miRNA::hsa-miR-21-5p,hsa-miR-21-3p	15811	21094	25184	24784	7546	31286	9321	29275	25103	27353	15285	41436	20906	39720	26380	16436	16297	28727	46225	23059	13030	37394	35361	52976	15757	27772	30204	39243
65	0	gene miRNA|gene::MIR1301,DNMT3A,DNMT3A,DNMT3A;miRNA::hsa-miR-1301-3p	475	391	469	366	158	478	372	334	611	544	306	836	525	211	761	573	221	778	466	194	224	266	886	1383	334	543	792	460
66	0	gene miRNA|gene::MIR20A,MIR17HG,MIR17HG;miRNA::hsa-miR-20a-5p,hsa-miR-20a-3p	1064	1420	1541	1323	355	1470	708	2363	2028	1438	1107	1799	1052	2025	2020	1071	759	1938	2861	1771	697	2019	1748	2637	1159	1802	2471	3022
67	0	ncrna gene|ncrna::U78;gene::SNORD78,GAS5	78	56	96	72	45	118	41	64	144	107	67	169	118	78	869	1230	775	1134	1038	713	256	1939	1744	2458	797	1783	2166	1140
68	0	gene miRNA|gene::MIR221;miRNA::hsa-miR-221-5p,hsa-miR-221-3p	24633	23125	21021	22114	14720	27312	16216	11289	39871	27512	16799	50415	27081	6675	52598	44606	21117	44125	21246	6344	20397	8453	45880	72198	23284	37792	63666	20769
69	0	tRNA repeat|tRNA::tRNA-Val-CAC-1-4;repeat::tRNA;tRNA::tRNA-Val-CAC-1-6;repeat::tRNA;tRNA::tRNA-Val-CAC-1-5;repeat::tRNA	914	1212	976	843	863	2302	915	1338	1159	933	734	1413	1035	911	16761	9965	7422	8166	8109	5158	3112	10170	7666	43126	8552	13332	9531	6015
70	0	tRNA repeat|tRNA::tRNA-Val-TAC-2-1;repeat::tRNA	480	301	599	886	10	319	192	254	221	464	864	166	505	324	588	1689	997	419	488	737	1035	569	1212	458	1803	763	455	522
71	0	tRNA repeat|tRNA::tRNA-Val-TAC-1-2;repeat::tRNA;tRNA::tRNA-Val-TAC-1-1;repeat::tRNA	2733	1558	3836	4896	73	2382	1391	1628	1797	3961	5274	1093	2606	1506	7799	14999	8700	5709	5898	7272	7137	5648	9239	6006	13797	8555	5521	5138
72	0	repeat gene|repeat::tRNA;gene::LOC101927043,LOC101927043	6218	7004	6813	6557	1680	5824	5089	4639	7264	9382	7803	4997	6034	2451	968946	1837256	552447	1188218	1449057	1613123	1242547	1315884	1292634	283783	998607	517153	370055	695777
73	0	tRNA repeat|tRNA::tRNA-Val-CAC-3-1;repeat::tRNA	150	113	116	205	18	105	47	144	76	89	143	119	140	64	13961	23569	5934	12560	14286	18398	21131	11396	15739	2065	16015	4255	2836	10745
74	0	tRNA repeat|tRNA::tRNA-Val-CAC-2-1;repeat::tRNA	890	910	460	679	34	923	1017	379	1151	1060	982	879	1042	260	153876	296887	64407	134521	211441	201370	146029	88520	292799	30058	97586	72036	26946	107661
75	0	tRNA repeat|tRNA::tRNA-Val-TAC-3-1;repeat::tRNA	24	14	32	50	0	33	10	12	15	43	54	3	25	17	66	140	87	41	56	74	72	50	92	59	160	74	61	59
76	0	repeat|repeat::tRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	526	154	392	429	529	346	382	395	85	241	169	187	479
77	0	tRNA repeat|tRNA::tRNA-Val-AAC-2-1;repeat::tRNA	3110	3069	1733	3761	135	1501	1001	2616	4615	5415	3505	2297	2592	1163	69802	172085	115817	75470	89556	182699	156580	85599	87140	13784	142144	54888	39721	44853
78	0	repeat|repeat::tRNA,LINE	16	42	22	26	0	27	22	18	21	41	39	26	41	6	186	513	134	289	335	382	362	657	358	144	246	114	76	171
79	0	gene|gene::RNA5-8S5,LOC100507412,RNA45S5;gene::RNA5-8S5	108757	117634	99101	78594	255871	119554	75777	81472	128241	141634	85359	98498	70513	65722	114827	93471	48521	91150	91041	58923	64854	65813	102082	133888	87645	99137	110111	67881
80	0	tRNA repeat|tRNA::tRNA-Leu-TAG-2-1;repeat::tRNA	85	43	48	48	0	16	5	46	62	78	26	19	38	3	74	131	87	39	54	38	89	44	126	42	59	112	84	44
81	0	tRNA repeat|tRNA::tRNA-Leu-CAA-4-1;repeat::tRNA	618	539	537	420	141	481	368	394	768	748	546	449	456	318	557	694	547	555	440	343	475	483	885	652	755	803	726	462
82	0	|	87	126	122	106	165	395	197	323	120	152	126	137	144	174	289	72	41	89	265	391	48	190	227	125	91	135	97	210
83	0	tRNA repeat|tRNA::tRNA-Leu-TAG-3-1;repeat::tRNA	168	177	181	188	22	106	78	160	133	219	144	78	119	68	199	329	250	205	173	219	401	143	238	176	316	478	142	219
84	0	tRNA repeat|tRNA::tRNA-Leu-CAG-1-3;repeat::tRNA;tRNA::tRNA-Leu-CAG-1-4;repeat::tRNA;tRNA::tRNA-Leu-CAG-1-5;repeat::tRNA;tRNA::tRNA-Leu-CAG-1-6;repeat::tRNA;tRNA::tRNA-Leu-CAG-1-7;repeat::tRNA;tRNA::tRNA-Leu-CAG-2-1;repeat::tRNA;tRNA::tRNA-Leu-CAG-1-1;repeat::tRNA;tRNA::tRNA-Leu-CAG-2-2;repeat::tRNA;tRNA::tRNA-Leu-CAG-1-2;repeat::tRNA	9392	9783	11868	10017	424	5695	4585	7335	11336	17473	10236	3956	6468	3652	6942	11796	8491	6452	6763	6036	7997	6785	10518	6563	10962	12719	10213	5967
85	0	repeat|tRNA::tRNA-Leu-AAG-1-3;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-3;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-3;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-3;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-3;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-3;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-4;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-4;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-4;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-4;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-2;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-2;repeat::tRNA;tRNA::tRNA-Leu-AAG-1-1;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-1;repeat::tRNA;tRNA::tRNA-Leu-TAG-1-1;repeat::tRNA;tRNA::tRNA-Leu-TAG-1-1;repeat::tRNA;tRNA::tRNA-Leu-TAG-1-1;repeat::tRNA;tRNA::tRNA-Leu-TAG-1-1;repeat::tRNA;tRNA::tRNA-Leu-AAG-3-1;repeat::tRNA;tRNA::tRNA-Leu-AAG-2-2;repeat::tRNA	1756	1524	1034	1811	231	858	588	909	1070	1840	1322	293	1117	877	1091	2178	1564	851	868	1275	1736	1031	2174	555	2331	1867	1138	893
86	0	repeat|repeat::scRNA	32206	37122	79376	45346	15766	22371	30642	49715	57155	74181	44571	54036	54725	69679	207701	704167	1125224	195743	406541	437348	257489	782612	638710	257930	2020557	1031649	965588	572532
87	0	|	145	147	462	240	0	50	30	268	433	460	245	195	224	177	51	46	30	30	58	33	21	93	194	161	56	63	102	56
88	0	gene|gene::HDAC9,HDAC9,HDAC9	24	20	71	46	0	12	14	36	87	58	16	76	105	26	83	57	34	37	44	41	15	59	204	142	33	137	105	88
89	0	repeat miRNA gene|repeat::SINE;miRNA::hsa-miR-342-5p,hsa-miR-342-3p;gene::MIR342,EVL	5222	4513	4561	3524	2868	3066	3149	4001	6516	4995	3068	4590	5495	3220	6303	7099	3488	5825	5143	3003	3412	4009	11574	10885	5200	6522	9868	7098
90	0	ncrna gene|ncrna::14q(II-20);gene::SNORD114-20,SNHG24	0	38	0	29	6	40	48	0	71	94	13	121	60	3	952	28	127	460	214	28	315	19	476	1053	285	519	584	142
91	0	ncrna gene|ncrna::14q(II-21);gene::SNORD114-21,SNHG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486	1183	439	1170	672	118	267	76	744	1563	602	1024	1224	421
92	0	ncrna gene|ncrna::14q(II-22);gene::SNORD114-22,SNHG24	341	341	177	208	17	409	421	120	467	518	228	526	273	41	14610	10059	4219	11536	6670	1263	2877	1177	7733	17077	4904	10686	11736	3813
